0;00000000;0
1;00000001;1
2;00000010;2
3;00000011;3
4;00000100;4
5;00000101;5
6;00000110;6
7;00000111;7
8;00001000;8
9;00001001;9
10;00001010;A
11;00001011;B
12;00001100;C
13;00001101;D
14;00001110;E
15;00001111;F
16;00010000;10
17;00010001;11
18;00010010;12
19;00010011;13
20;00010100;14
21;00010101;15
22;00010110;16
23;00010111;17
24;00011000;18
25;00011001;19
26;00011010;1A
27;00011011;1B
28;00011100;1C
29;00011101;1D
30;00011110;1E
31;00011111;1F
32;00100000;20
33;00100001;21
34;00100010;22
35;00100011;23
36;00100100;24
37;00100101;25
38;00100110;26
39;00100111;27
40;00101000;28
41;00101001;29
42;00101010;2A
43;00101011;2B
44;00101100;2C
45;00101101;2D
46;00101110;2E
47;00101111;2F
48;00110000;30
49;00110001;31
50;00110010;32
51;00110011;33
52;00110100;34
53;00110101;35
54;00110110;36
55;00110111;37
56;00111000;38
57;00111001;39
58;00111010;3A
59;00111011;3B
60;00111100;3C
61;00111101;3D
62;00111110;3E
63;00111111;3F
64;01000000;40
65;01000001;41
66;01000010;42
67;01000011;43
68;01000100;44
69;01000101;45
70;01000110;46
71;01000111;47
72;01001000;48
73;01001001;49
74;01001010;4A
75;01001011;4B
76;01001100;4C
77;01001101;4D
78;01001110;4E
79;01001111;4F
80;01010000;50
81;01010001;51
82;01010010;52
83;01010011;53
84;01010100;54
85;01010101;55
86;01010110;56
87;01010111;57
88;01011000;58
89;01011001;59
90;01011010;5A
91;01011011;5B
92;01011100;5C
93;01011101;5D
94;01011110;5E
95;01011111;5F
96;01100000;60
97;01100001;61
98;01100010;62
99;01100011;63
